Exercise,Pectoralis Major — Clavicular,Pectoralis Major — Sternocostal,Pectoralis Minor,Anterior Deltoid,Lateral Deltoid,Posterior Deltoid,Latissimus Dorsi,Teres Major,Upper Trapezius,Middle Trapezius,Lower Trapezius,Rhomboids,Serratus Anterior,Lumbar Erector Spinae,Biceps Brachii,Brachialis,Brachioradialis,Triceps Brachii — Long Head,Triceps Brachii — Lateral Head,Triceps Brachii — Medial Head,Wrist Flexors,Wrist Extensors,Finger Flexors / Grip,Rectus Abdominis,Obliques,Iliopsoas,Gluteus Maximus,Gluteus Medius + Minimus,Adductor Magnus,Other Hip Adductors,Rectus Femoris,Vastus Lateralis,Vastus Medialis,Vastus Intermedius,Biceps Femoris — Long Head,Biceps Femoris — Short Head,Semitendinosus,Semimembranosus,Gastrocnemius,Soleus
Adductor Machine (Machine),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Adductor Machine (Machine) (Unilateral),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Back Extensions (Dumbbell),0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.5,0,0,0,0,0,0.75,0,0.75,0.75,0,0
Behind Back Wrist Curls (Cable) (Straight Bar),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belt Squat (Machine),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.5,0,0.25,1,1,1,0,0,0,0,0,0
Calf Raises (Leg Press Machine),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Calf Raises (Machine) (Standing),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Chest Fly (Cable) (Bent Over Standing) (Horizontal),0.75,1,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chest Fly (Cable) (Kneeling) (Horizontal),0.75,1,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chest Fly (Cable) (Seated) (Horizontal),0.75,1,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crunch (Machine),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curl (Cable) (Bayesian) (Unilateral),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curl (Cable) (EZ Bar Attachment),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curl (Dumbbell) (Concentration) (Unilateral),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curl (Dumbbell) (Incline),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curl (Dumbbell) (Preacher) (Unilateral),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curl (EZ Bar) (Preacher),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curl (Machine) (Preacher) (Unilateral),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decline Weighted Sit Ups (Dumbbell),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.25,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
Dips (Machine),0.25,1,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extension (Cable) (Overhead) (Katana),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extension (Cable) (Overhead) (Unilateral),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extension (Dumbbell) (Overhead),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extension (Dumbbell) (Overhead) (Unilateral),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fly (Cable) (High-to-Low),0.5,1,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fly (Cable) (Low-to-High),1,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fly (Cable) (Low-to-High) (Unilateral),1,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fly (Pec Deck Machine),0.75,1,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Press (Cable) (EZ Bar Attachment),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Press (Cable) (V-Bar),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Press (Machine),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grip Squeeze (Cable) (Unilateral),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grip Squeeze (Machine),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hack Squat (Machine),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.5,0,0.25,1,1,1,0,0,0,0,0,0
Hammer Curl (Cable) (Unilateral),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hammer Curl (Dumbbell) (Alternating),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hammer Curl (Dumbbell) (Concentration) (Unilateral),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hammer Curl (Dumbbell) (Preacher) (Unilateral),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hammer Curl (Dumbbell) (Seated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hip Thrust (Machine),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0,0,0,0,0,0,0,0,0,0
JM Press (Cable) (Unilateral),0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelso Shrug (Barbell) (Chest Supported),0,0,0,0,0,0,0,0,0,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelso Shrug (Cable Machine),0,0,0,0,0,0,0,0,0,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelso Shrug (Machine) (Chest Supported),0,0,0,0,0,0,0,0,0,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kickback (Cable),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lat Pulldown (Cable Machine) (Close Grip),0,0,0,0,0,0,1,0.75,0,0.25,0.5,0.25,0,0,0.5,0.75,0.75,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lat Pulldown (Cable Machine) (Neutral Grip),0,0,0,0,0,0,1,0.75,0,0.25,0.5,0.25,0,0,0.5,0.75,0.75,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lat Pulldown (Cable Machine) (Unilateral),0,0,0,0,0,0,1,0.75,0,0.25,0.5,0.25,0,0,0.5,0.75,0.75,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lat Pulldown (Cable Machine) (Wide Grip),0,0,0,0,0,0,1,0.75,0,0.25,0.5,0.25,0,0,0.25,0.5,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lat Pulldown (Cable) (Kneeling) (Unilateral),0,0,0,0,0,0,1,0.75,0,0.25,0.5,0.25,0,0,0.5,0.75,0.75,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lat Pulldown (Machine) (Close Grip),0,0,0,0,0,0,1,0.75,0,0.25,0.5,0.25,0,0,0.5,0.75,0.75,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lat Pulldown (Machine) (Unilateral),0,0,0,0,0,0,1,0.75,0,0.25,0.5,0.25,0,0,0.5,0.75,0.75,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
