Date,Weight (kg),Fat Percent
01/01/2023,93.2,
31/01/2023,94,
01/02/2023,93.4,
02/02/2023,92,
03/02/2023,93,
04/02/2023,92.9,
17/02/2023,92.8,
14/03/2023,93.3,
28/11/2023,95.3,
30/11/2023,94.8,
03/12/2023,95,
04/12/2023,95.2,
05/12/2023,95.6,
14/12/2023,97.9,
04/01/2024,96.5,
07/01/2024,101.7,
08/01/2024,97.8,
11/01/2024,96.7,
16/02/2024,93.3,
27/02/2024,92.3,
03/03/2024,90.4,
04/03/2024,90.4,
08/03/2024,90.6,
11/03/2024,93.6,
12/03/2024,93.6,
14/03/2024,91.9,
19/03/2024,91.05,18.3
20/03/2024,91.55,18.5
21/03/2024,91.2,18.3
22/03/2024,91.7,18.5
23/03/2024,90.45,18
24/03/2024,90.5,18
25/03/2024,91.35,18.3
26/03/2024,90.45,18
28/03/2024,90.8,18.2
29/03/2024,90.3,17.9
31/03/2024,90,17.9
01/04/2024,90.05,17.9
02/04/2024,89.45,17.6
03/04/2024,89.8,17.7
04/04/2024,89.5,17.6
05/04/2024,89.2,
06/04/2024,88.6,17.3
07/04/2024,88.9,17.4
08/04/2024,89.45,
11/04/2024,89.3,17.6
12/04/2024,89,17.6
14/04/2024,88.25,17.1
17/04/2024,89.65,17.7
18/04/2024,88.95,17.4
20/04/2024,88,17
21/04/2024,88.4,17.1
23/04/2024,89.2,17.4
24/04/2024,89.95,17.7
25/04/2024,89.55,17.6
26/04/2024,89.15,17.4
27/04/2024,88.7,17.3
28/04/2024,89.3,17.6
30/04/2024,89.45,17.6
02/05/2024,88.75,17.3
03/05/2024,88.85,17.3
06/05/2024,89.4,17.6
11/05/2024,89.1,
13/05/2024,88.6,
27/05/2024,88.9,
28/05/2024,88.6,
30/05/2024,88.7,
31/05/2024,87.9,
26/06/2024,87.9,
08/07/2024,88.9,
09/07/2024,89.3,
10/07/2024,88.4,
11/07/2024,88.3,
12/07/2024,89.2,
14/07/2024,89,
16/07/2024,89.8,
18/07/2024,89.3,
23/07/2024,88.2,
24/07/2024,87.7,
25/07/2024,88.1,
26/07/2024,87.6,
12/08/2024,86.7,
13/08/2024,86.8,
14/08/2024,86.8,
15/08/2024,87.8,
16/08/2024,87.4,
17/08/2024,87.9,
20/08/2024,87.3,
21/08/2024,86.5,
22/08/2024,87,
23/08/2024,87.2,
24/08/2024,88.2,
25/08/2024,88.8,
26/08/2024,88.2,
27/08/2024,87.5,
28/08/2024,87.2,
31/08/2024,87.2,
01/09/2024,87.06,16.6
02/09/2024,87.4,
03/09/2024,87.4,
04/09/2024,86.7,
05/09/2024,86.5,
06/09/2024,86.98,16.6
07/09/2024,86.97,16.6
08/09/2024,87.8,
09/09/2024,86.94,16.5
10/09/2024,87.3,
11/09/2024,86.5,
12/09/2024,86.6,
13/09/2024,86.2,
14/09/2024,86.86,16.5
15/09/2024,86.85,16.5
16/09/2024,86.83,16.5
17/09/2024,86.8,
18/09/2024,85.4,
19/09/2024,85.6,
20/09/2024,86.6,
21/09/2024,86.37,16.3
22/09/2024,86.4,
23/09/2024,86,
24/09/2024,85.54,15.9
25/09/2024,85.08,15.7
26/09/2024,84.61,15.5
27/09/2024,84.2,
28/09/2024,84.48,15.4
29/09/2024,84.82,15.6
30/09/2024,85.2,
01/10/2024,85.15,15.3
02/10/2024,85.15,15.3
03/10/2024,84.47,15.3
04/10/2024,84.3,
05/10/2024,83.6,
06/10/2024,84,
07/10/2024,84.5,
08/10/2024,85.4,
09/10/2024,85.2,
10/10/2024,85.3,
11/10/2024,84.9,
12/10/2024,84.6,
13/10/2024,84.85,15.5
14/10/2024,85.1,
15/10/2024,85.1,
16/10/2024,85.03,15.6
17/10/2024,85,
18/10/2024,84.6,
19/10/2024,85.05,15.6
20/10/2024,85.08,15.7
21/10/2024,85.1,
22/10/2024,84.8,
23/10/2024,83.7,15.1
24/10/2024,82.7,
25/10/2024,82.7,
26/10/2024,83.3,
27/10/2024,84.4,
28/10/2024,84.2,
31/10/2024,84.2,
04/11/2024,84,
05/11/2024,84.6,
13/11/2024,81.9,
14/11/2024,82.6,
15/11/2024,82.3,
16/11/2024,82,
17/11/2024,82.1,
22/11/2024,83,
25/11/2024,85.4,
26/11/2024,84.7,
27/11/2024,84.2,
29/11/2024,83.1,14.8
30/11/2024,82.5,14.5
02/12/2024,84.8,15.6
14/12/2024,85.9,
16/12/2024,85.6,
01/01/2025,87.5,
02/01/2025,86.5,
06/01/2025,88.9,
07/01/2025,88.1,
08/01/2025,87.8,
09/01/2025,87.4,
12/01/2025,87.2,
13/01/2025,87,
14/01/2025,86.2,
16/01/2025,86.6,
17/01/2025,87.2,
19/01/2025,86.3,
20/01/2025,86.5,
26/01/2025,85,15.6
27/01/2025,84.3,15.3
28/01/2025,83.6,15.1
29/01/2025,84.1,15.3
30/01/2025,84.3,15.4
31/01/2025,84.7,15.6
01/02/2025,85.2,15.7
02/02/2025,85.2,15.7
07/02/2025,86.1,16.2
08/02/2025,85.8,16.1
10/02/2025,85.6,15.9
11/02/2025,85.4,15.7
12/02/2025,86.1,16.1
14/02/2025,85.4,15.7
15/02/2025,86.5,16.4
16/02/2025,86.8,16.4
17/02/2025,86.8,16.5
18/02/2025,85.8,
19/02/2025,86.5,
20/02/2025,86.3,
22/02/2025,86,
23/02/2025,86.2,
25/02/2025,87.7,
26/02/2025,87.2,
27/02/2025,87,
04/03/2025,87.4,
05/03/2025,87.2,
06/03/2025,87.3,
07/03/2025,87.5,
08/03/2025,86.7,
10/03/2025,88.1,
11/03/2025,88.1,
12/03/2025,87.2,
13/03/2025,87.6,
14/03/2025,87.7,
16/03/2025,86.9,
17/03/2025,87.7,
18/03/2025,87.4,
19/03/2025,87.3,
20/03/2025,87.3,
21/03/2025,87.6,
01/04/2025,87.6,
02/04/2025,87.6,
