Exercise,Sagittal Plane Lumbar Intervertebral Flexion (Dynamic),Frontal Plane Acetabulofemoral Adduction (Dynamic),Sagittal Plane Acetabulofemoral Flexion (Dynamic),Sagittal Plane Acetabulofemoral Extension (Dynamic),Sagittal Plane Tibiofemoral Flexion (Dynamic),Sagittal Plane Tibiofemoral Extension (Dynamic),Sagittal Plane Talocrural Plantarflexion (Dynamic),Transverse Plane Scapulothoracic Retraction (Dynamic),Transverse Plane Scapulothoracic Protraction (Dynamic),Frontal Plane Scapulothoracic Upward Rotation (Dynamic),Frontal Plane Scapulothoracic Downward Rotation (Dynamic),Frontal Plane Scapulothoracic Depression (Dynamic),Sagittal Plane Scapulothoracic Posterior Tilt (Dynamic),Transverse Plane Scapulothoracic External Rotation (Dynamic),Frontal Plane Glenohumeral Adduction (Dynamic),Frontal Plane Glenohumeral Abduction (Dynamic),Sagittal Plane Glenohumeral Flexion (Dynamic),Sagittal Plane Glenohumeral Extension (Dynamic),Transverse Plane Glenohumeral Horizontal Adduction (Dynamic),Transverse Plane Glenohumeral Horizontal Abduction (Dynamic),Scapular Plane Glenohumeral Elevation (Dynamic),Sagittal Plane Humeroulnar Flexion (Radioulnar Supinated) (Dynamic),Sagittal Plane Humeroulnar Flexion (Radioulnar Neutral) (Dynamic),Sagittal Plane Humeroulnar Flexion (Radioulnar Pronated) (Dynamic),Sagittal Plane Humeroulnar Extension (Glenohumeral Neutral) (Dynamic),Sagittal Plane Humeroulnar Extension (Glenohumeral Flexed) (Dynamic),Sagittal Plane Humeroulnar Extension (Glenohumeral Extended) (Dynamic),Sagittal Plane Radiocarpal Flexion (Dynamic),Sagittal Plane Metacarpophalangeal Flexion (Dynamic),Sagittal Plane Interphalangeal Flexion (Dynamic),Sagittal Plane Lumbar Intervertebral Flexion (Isometric),Sagittal Plane Lumbar Intervertebral Extension (Isometric),Transverse Plane Lumbar Intervertebral Rotation (Isometric),Frontal Plane Acetabulofemoral Abduction (Isometric),Sagittal Plane Acetabulofemoral Extension (Isometric),Transverse Plane Scapulothoracic Retraction (Isometric),Frontal Plane Scapulothoracic Depression (Isometric),Sagittal Plane Radiocarpal Extension (Isometric),Sagittal Plane Metacarpophalangeal Flexion (Isometric),Sagittal Plane Interphalangeal Flexion (Isometric)
Abs - Crunch (Machine),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abs - Decline Weighted Sit Ups (Dumbbell),1,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adductors - Adductor Machine (Machine),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adductors - Adductor Machine (Machine) (Unilateral),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Back - Kelso Shrug (Barbell) (Chest Supported),0,0,0,0,0,0,0,1,0,0.15,0,0,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Back - Kelso Shrug (Cable Machine),0,0,0,0,0,0,0,1,0,0.15,0,0,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Back - Kelso Shrug (Machine) (Chest Supported),0,0,0,0,0,0,0,1,0,0.15,0,0,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Back - Lat Pulldown (Cable Machine) (Close Grip),0,0,0,0,0,0,0,0.4,0,0,0.7,0.5,0,0,0,0,0,1,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.35,0.35
Back - Lat Pulldown (Cable Machine) (Neutral Grip),0,0,0,0,0,0,0,0.4,0,0,0.7,0.5,0,0,0,0,0,1,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.35,0.35
Back - Lat Pulldown (Cable Machine) (Unilateral),0,0,0,0,0,0,0,0.4,0,0,0.7,0.5,0,0,1,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.35,0.35
