Movement Pattern,Pectoralis Major — Clavicular,Pectoralis Major — Sternocostal,Pectoralis Minor,Anterior Deltoid,Lateral Deltoid,Posterior Deltoid,Latissimus Dorsi,Teres Major,Upper Trapezius,Middle Trapezius,Lower Trapezius,Rhomboids,Serratus Anterior,Lumbar Erector Spinae,Biceps Brachii,Brachialis,Brachioradialis,Triceps Brachii — Long Head,Triceps Brachii — Lateral Head,Triceps Brachii — Medial Head,Wrist Flexors,Wrist Extensors,Finger Flexors / Grip,Rectus Abdominis,Obliques,Iliopsoas,Gluteus Maximus,Gluteus Medius + Minimus,Adductor Magnus,Other Hip Adductors,Rectus Femoris,Vastus Lateralis,Vastus Medialis,Vastus Intermedius,Biceps Femoris — Long Head,Biceps Femoris — Short Head,Semitendinosus,Semimembranosus,Gastrocnemius,Soleus
Sagittal Plane Lumbar Intervertebral Flexion (Dynamic),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontal Plane Acetabulofemoral Adduction (Dynamic),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0
Sagittal Plane Acetabulofemoral Flexion (Dynamic),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0.3,0.8,0,0,0,0,0,0,0,0,0
Sagittal Plane Acetabulofemoral Extension (Dynamic),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0.8,0,0,0,0,0,0.8,0,0.8,0.8,0,0
Sagittal Plane Tibiofemoral Flexion (Dynamic),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.4,0
Sagittal Plane Tibiofemoral Extension (Dynamic),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0
Sagittal Plane Talocrural Plantarflexion (Dynamic),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
Transverse Plane Scapulothoracic Retraction (Dynamic),0,0,0,0,0,0,0,0,0.4,1.0,0.6,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transverse Plane Scapulothoracic Protraction (Dynamic),0,0,0.7,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontal Plane Scapulothoracic Upward Rotation (Dynamic),0,0,0,0,0,0,0,0,0.8,0,0.9,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontal Plane Scapulothoracic Downward Rotation (Dynamic),0,0,0.7,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontal Plane Scapulothoracic Depression (Dynamic),0,0,0.8,0,0,0,0,0,0,0,1.0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
